"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"51670",0.1165433404,0.0004398505,17.594018034,6556,0.1488607213,0.0424354244,10289.55,6.2,0.2041604345,4.0827452907,3.9769947592,0.1563081299,0.1268573603,0.1266954012,0.4149936919,0.1957753548,0.9105395954,0.0010277952,0.0004915542,0.296,0.266,66.436353972894,19.1927244810583
"51678",0.1027027027,0,34.066713982,3153,0.1158878505,0.0504322767,8140.4,8.1,0.1720251698,3.819878273,3.8426867021,0.2191085131,0.1167758243,0.1222785538,0.3319665591,0.1693189906,1,0.0048196089,0.0016524373,0.19,0.19,79.3910241442115,102.741325363097
"51680",0.1078658233,0.0012092954,17.578417194,4511,0.1292138704,0.0470580703,9135.24,6.6,0.1893965592,4.1939834577,4.0301349695,0.1705563987,0.1302205156,0.127827846,0.3529702306,0.1803780174,0.9167240102,0.0036711271,0.0017917105,0.354,0.264,78.8319593061128,13.6918666163249
"51683",0.1504873815,0.0010847817,11.57100499,3715,0.1827872237,0.0735540839,10221.27,9.8,0.1712483924,3.3196694116,3.3460018108,0.1786286558,0.1007216505,0.1033160536,0.3650578634,0.150016729,1,0.0024422948,0.0014845321,0.31,0.257,27.2549459710777,11.2226248116202
"51685",0.1589157953,0,5.0267043669,NA,0.1911415265,0.0760123135,9066.4,9.1,0.1900350566,3.566077321,3.4414544252,0.1735727106,0.109172994,0.1075927065,0.3805971139,0.1615796905,1,0,0,0.406,0.274,12.4398739426107,12.4398739426107
"51690",0.1062675579,7.43771e-05,31.238378579,7107,0.1331877729,0.0418118467,9641.37,6,0.2213927486,4.1884414845,4.0336934924,0.1388014516,0.1312341319,0.1327825791,0.3993065051,0.1987161621,0.7909702626,0.0027849029,0.0019054599,0.293,0.353,198.846689202625,173.990853052297
"51700",0.1123736452,0.000560979,10.834593703,4524,0.1380840251,0.0445826975,9462.41,7.1,0.1900343042,3.63899972,3.7695887126,0.162586504,0.1138044064,0.1189883181,0.3735367164,0.1790886858,0.9938357339,0.0010307865,0.0010143378,0.346,0.249,65.6735308076925,11.7734060831718
"51710",0.1181340525,0.0009668931,11.260020807,5709,0.1430360433,0.0465554251,9918.16,6.5,0.1694084569,3.8878771156,3.797345098,0.2108477994,0.1241432994,0.123030497,0.4117740124,0.1990765438,0.9547287307,0.0016112471,0.0014083192,0.336,0.244,64.5195467060394,11.6814337194092
"51720",0.1010322177,0.0028467909,15.527950311,5625,0.1215378255,0.0387878788,10369.12,7.3,0.1923305695,4.1957294589,4.2268816579,0.1613197249,0.1309256957,0.1364495887,0.363125479,0.2023338161,1,0.00330033,0.0043158162,0.318,0.374,68.1489053582077,68.1489053582077
"51730",0.1201652703,0.0007527759,17.251113481,7567,0.1477745108,0.036360938,10406.95,3.9,0.259597191,4.4494866483,4.0045972326,0.1226179632,0.1451082879,0.1372728808,0.4380154958,0.2162023554,0.9254164096,0.0027711919,0.0009237306,0.404,0.291,88.4412489985329,13.5263086703639
"51735",0.0634121274,0.0004992927,6.6572355829,2358,0.0736385272,0.0370774264,9587.92,9.3,0.107160295,2.9007980106,3.1510251206,0.194503247,0.084565571,0.0958764964,0.3127217645,0.1308717714,0.94,0.0004975537,0,0.373,0.254,77.5000691964904,63.6607711256885
"51740",0.1018520887,0.0005144249,11.128375257,4490,0.1259588993,0.0387145862,9580.59,6.8,0.2057906805,3.8314263686,3.8613243255,0.1557037965,0.1207517686,0.1239143518,0.4431927467,0.2096540799,0.9808761187,0.0019438467,0.0010706749,0.39,0.277,74.818634734726,15.3832706931212
"51750",0.0886938096,0.0006863811,14.871589544,4211,0.0995903505,0.0370526316,9950.95,6.3,0.239551368,4.8690998066,4.624509174,0.1837427816,0.1577821287,0.1561598679,0.3779145316,0.2325198764,0.8634812287,0.0011492271,0.0008619204,0.342,0.182,53.2886723507917,49.4823386114494
"51760",0.1203227774,0.0010261236,14.607698167,4927,0.141815804,0.0406312127,9677.11,6.2,0.2037753937,4.0219368082,4.0222670242,0.1889631145,0.1280532176,0.1328985798,0.3862222328,0.2053073024,0.9548121089,0.0026692209,0.0014208608,0.309,0.228,44.5941854551366,10.4401103072226
