"5-digit_FIPS_Code","share_15_19_f","share_20_24_f","share_25_29_f","share_30_34_f","share_35_39_f","share_40_44_f","share_15_19_MALE_f","share_15_19_FEM_f","share_20_24_MALE_f","share_20_24_FEM_f","share_25_29_MALE_f","share_25_29_FEM_f","share_45_64_f","share_65_over_f","POPESTIMATE_f","white_pop_f","black_pop_f","native_pop_f","asian_pop_f","hispanic_pop_f","census_o25_highschool_f","census_o25_college_f","bls_unemployment_rate_f","census_poverty_f","lnarea_f","land_f","pop_density_f","sh_emp_information_f","sh_emp_consre_f","sh_emp_manufac_f","pop_gr_f"
"27045",0.0592660461976178,0.0504894632781984,0.0456671649708251,0.0575300188069634,0.0563726672131938,0.0532381733134012,0.0305733712687467,0.0286926749288711,0.0267637556059218,0.0237257076722766,0.0226165790615807,0.0230505859092443,0.274581665621835,0.200270048705213,20737,0.968124608188263,0.00390606162897237,0.00144668949221199,0.00559386603655302,0.0137917731590876,0.356791577197479,0.242017039551153,4.2,11.1,6.75935983657837,867.892534621922,23.8935112041649,0.0155172413215041,0.0685344785451889,0.184698268771172,-0.00445560971274972
"27047",0.0560634358923949,0.0506242013172122,0.0523935908778138,0.0586847537599528,0.0533438186048036,0.0520659261443691,0.0287361971231036,0.0273272387692913,0.0263114780956126,0.0243127232215997,0.026966807562502,0.0254267833153118,0.27874438874144,0.215505095186605,30519,0.863658704413644,0.0111078344637767,0.00242471902749107,0.0158589730987254,0.0955142697991415,0.366665147440864,0.240554213572763,3.9,12.1,6.58260679244995,688.823517521931,44.3059785615237,0.00935723632574081,0.040752075612545,0.239527761936188,-0.0647539496421814
"27049",0.0621365963724724,0.0528942115768463,0.0511151609823831,0.059402933263907,0.056582487199514,0.0568862275449102,0.0328473487806995,0.029289247591773,0.0272715438687842,0.0256226677080621,0.0266857589169487,0.0244294020654343,0.2918510804478,0.182287598715612,46092,0.924216783823657,0.0111516098238306,0.0111516098238306,0.00624837281957823,0.0326737828690445,0.33041785140314,0.248701940907405,3.6,11.2,6.65980672836304,765.180327868852,60.2367812151855,0.0123734530061483,0.0542488992214203,0.245832905173302,0.057429600507021
"27051",0.049616368286445,0.0487638533674339,0.044842284739983,0.0583120204603581,0.0543904518329071,0.049616368286445,0.025234441602728,0.024381926683717,0.0255754475703325,0.0231884057971014,0.0245524296675192,0.0202898550724638,0.273316283034953,0.23154305200341,5865,0.957885763000852,0.0040920716112532,0.00341005967604433,0.00289855072463768,0.0197783461210571,0.334113242863828,0.241226017781937,4.8,9.1,6.35520458221436,541.454545454545,10.8319341840161,0,0.125560536980629,0.0777279511094093,-0.0487142615020275
"27053",0.0577609357673927,0.0643348259992084,0.0869995780411295,0.083999254212229,0.0699355940297726,0.061116162987338,0.0293752064818116,0.0283857292855811,0.0322929375860682,0.0320418884131403,0.0439147970181573,0.0430847810229722,0.259193960427454,0.129028644138206,1222868,0.697291939931374,0.126810089069303,0.0071209648138638,0.0722212045780902,0.0684391119891926,0.178132175581534,0.194983454311254,3.4,12.5,6.40778732299805,592.056025800539,2065.45993404343,0.0270330514758825,0.0579403564333916,0.0840422809123993,0.101990766823292
"27055",0.0566996523134528,0.054613533030222,0.0450387804225729,0.054132120887938,0.0575020058839262,0.0534367477935277,0.0294731211553891,0.0272265311580637,0.0272800213960952,0.0273335116341268,0.0233217437817598,0.0217170366408131,0.304038512971383,0.194811446910939,18695,0.96191495052153,0.00668627975394491,0.00181866809307301,0.00529553356512436,0.0107515378443434,0.34301542147028,0.217023506512951,3.9,11,6.34359931945801,545.333333333333,34.2817848410758,0.0398671105504036,0.0845898240804672,0.121645793318748,-0.0458464361727238
"27057",0.0519738435456527,0.0437394042140954,0.0374424800193752,0.051150399612497,0.0491160087188181,0.0498910147735529,0.0271252119157181,0.0248486316299346,0.0228626786146767,0.0208767255994187,0.0192298377331073,0.0182126422862679,0.299297650762897,0.240881569387261,20645,0.932283845967547,0.00392346815209494,0.0229111164930976,0.00465003632840882,0.0191813998546864,0.318145376803848,0.245456974879743,6.2,11.6,6.90731525421143,937.466047166747,22.022130894654,0.0153084192425013,0.073165237903595,0.192030623555183,0.130956932902336
"27059",0.0662469632454743,0.053838718946736,0.0585146678508921,0.0660118596692876,0.0607089678953005,0.0605522321778428,0.0344296126015517,0.0318173506439226,0.027193646978919,0.0266450719678169,0.0306418327629895,0.0278728350879026,0.287270447480473,0.146678508920875,38281,0.944698414356992,0.00653065489407278,0.00457145842585094,0.0102139442543298,0.0181552206055223,0.37815385804258,0.243460453614621,4.4,7.4,6.1129298210144,449.596758386401,85.1451868500792,0.0187131799757481,0.0641099661588669,0.161141276359558,0.239006891846657
"27061",0.060527071505887,0.0508294859616956,0.0431421060770063,0.0538337493649076,0.0547394464202876,0.0528617817932802,0.0323841922728578,0.0281428792330292,0.0273034526938965,0.0235260332677992,0.0231725905144801,0.0199695155625262,0.298173142768782,0.212242373368089,45269,0.921447348074842,0.00366696856568513,0.0359848903222956,0.0034902471890256,0.0133645541098765,0.317801562403888,0.274773943532017,6.6,13.6,7.9820613861084,2677.04148054498,16.9100853793212,0.00922153145074844,0.0677675306797028,0.072128102183342,0.0298422519117594
"27063",0.0589225589225589,0.054862348979996,0.0491186373539315,0.057140027728263,0.0536739948504654,0.0550604080015845,0.0300059417706477,0.0289166171519113,0.0294117647058824,0.0254505842741137,0.0282234105763518,0.0208952267775797,0.285700138641315,0.204000792236086,10098,0.931273519508814,0.00703109526638938,0.00227767874826698,0.0161418102594573,0.0321845910081204,0.348360083740405,0.249685973482205,4.1,10.8,6.57818126678467,681.095872615244,14.8261065820677,0,0.0292347390204668,0.251289755105972,-0.11198428273201
